1,Schools,,Principal's Official Staff,WSS Non Teaching/Support,Mitigation Funding,Custodial,Nutrition,Utilities,Transportation,Grounds,Maintenance,Total
2,Adams,,396751,170370,,328816,62985,92249,248571,25732,43016,1368491
3,Alki,,396751,170370,,369714,62985,100000,331428,24641,31250,1487140
4,Arbor Heights,,657982,210704,,566581,62985,121709,662856,25583,75144,2383545
5,Bailey Gatzert,,657982,283935,,346582,62985,102897,414285,26496,68238,1963401
6,Beacon Hill,,435556,243601,301340,359711,62985,88583,82857,26109,48054,1648798
7,BF Day,,435556,210704,,551173,62985,157132,579999,25732,35511,2058794
8,Broadview Thomson,,982252,296716,,350580,62985,214024,414285,26143,110725,2457710
9,Bryant,,546769,170370,,347568,62985,130794,82857,25732,30754,1397829
10,Cascadia,,435556,210704,,564448,62985,113539,1242856,26426,51599,2708114
11,Catherine Blaine,,440101,256382,30320,273830,62985,144829,82857,27458,91580,1410342
12,Cedar Park,,396751,210704,,381025,62985,65687,165714,27851,52657,1363375
13,Concord,,396751,170370,150670,418356,62985,111898,165714,24660,49514,1550917
14,Daniel Bagley,,396751,170370,,285841,62985,85443,414285,25732,27257,1468663
15,Dearborn Park,,396751,170370,226005,380366,62985,101842,248571,25287,42765,1654941
16,Decatur,,396751,170370,,307580,62985,81764,248571,26560,30954,1325536
17,Dunlap,,396751,283935,,403881,62985,119493,165714,25131,40281,1498172
18,Emerson,,507963,243601,,434571,62985,150293,497142,25855,61776,1984188
19,Fairmount Park,,435556,210704,,385594,62985,80322,331428,24303,36235,1567128
20,Frantz Coe,,435556,170370,,399021,62985,130435,165714,25668,57687,1447437
21,Gatewood,,435556,170370,,357700,62985,90692,165714,25782,74243,1383043
22,Genesee Hill,,546769,170370,,535617,62985,135382,248571,25855,28991,1754541
23,Graham Hill,,396751,170370,,379860,62985,93484,331428,24303,33293,1492474
24,Green Lake,,435556,210704,,380209,62985,91053,579999,26807,37048,1824362
25,Greenwood,,435556,210704,,376935,62985,96630,165714,25732,40398,1414654
26,Hawthorne,,435556,170370,,393654,62985,85785,248571,25668,56978,1479568
27,Hazel Wolf,,982252,256382,,292102,62985,120657,994285,26804,45431,2780898
28,Highland Park,,396751,170370,,401573,62985,136700,248571,26119,60976,1504044
29,James Baldwin,,396751,210704,,327261,62985,100000,331428,25732,50000,1504862
30,John Hay,,396751,210704,,377026,62985,94449,662856,25668,38080,1868519
31,John Muir,,435556,243601,,332754,62985,107526,82857,25668,62491,1353439
32,John Rogers,,396751,170370,,328027,62985,112997,414285,26447,38962,1550824
33,John Stanford,,435556,170370,150670,363641,62985,99282,165714,25668,92633,1566521
34,Kimball,,657982,283935,,561540,62985,6514,579999,25668,658,2179281
35,Lafayette,,657982,210704,,399133,62985,117123,497142,24303,43271,2012643
36,Laurelhurst,,396751,170370,,384991,62985,108306,331428,27149,41181,1523161
37,Lawton,,435556,170370,,380612,62985,87236,248571,26102,26621,1438054
38,Leschi,,396751,210704,,390702,62985,86773,331428,26082,46710,1552136
39,Licton Springs,,362490,210704,303208,172325,62985,57021,414285,25732,25850,1634600
40,Louisa Boren,,672371,296716,75802,304437,62985,222979,911428,25786,93307,2665810
41,Lowell,,657982,283935,,578627,62985,82218,994285,26082,29867,2715981
42,Loyal Heights,,657982,243601,,566937,62985,100704,248571,26560,48678,1956018
43,Madrona,,396751,210704,,397479,62985,107173,165714,25668,51359,1417834
44,Magnolia,,435556,210704,,376764,62985,92557,165714,27798,36030,1408109
45,Maple,,546769,243601,,370676,62985,112553,497142,24693,56037,1914456
46,ML King Jr,,396751,283935,,412823,62985,119825,248571,25139,49876,1599905
47,McDonald,,546769,170370,150670,374560,62985,80673,248571,25732,32544,1692873
48,McGilvra,,396751,170370,,339542,62985,80134,165714,25668,44559,1285723
49,Montlake,,396751,170370,,384090,62985,58709,497142,25668,14379,1610094
50,North Beach,,435556,210704,,380438,62985,105727,331428,25732,60568,1613138
51,Olympic Hills,,657982,283935,,438898,62985,160676,745714,30419,58303,2438911
52,Olympic View,,435556,243601,,398792,62985,95696,414285,25732,33703,1710351
53,Orca,,440101,170370,90962,230682,62985,112805,497142,24303,61837,1691189
54,Pathfinder,,672371,256382,,220349,62985,174277,1077142,24589,31963,2520058
55,Queen Anne,,396751,210704,,529171,62985,96204,331428,26082,20296,1673622
56,Rainier View,,396751,170370,,389186,62985,107020,165714,26427,40437,1358890
57,Rising Star Academy,,507963,283935,,599460,62985,166419,579999,25107,61078,2286947
58,Roxhill,,396751,170370,,381478,62985,94361,414285,24303,46462,1590995
59,Sacajawea,,396751,210704,,377490,62985,78646,497142,25732,49485,1698936
60,Salmon Bay,,749982,256382,,251031,62985,148597,745714,25732,108135,2348559
61,Sand Point,,396751,210704,,352851,62985,81308,248571,25732,59317,1438219
62,Sanislo,,396751,170370,,335261,62985,93225,165714,24303,26076,1274685
63,South Shore,,749982,296716,,429205,62985,218141,745714,25363,78062,2606169
64,Stevens,,396751,170370,,361407,62985,91597,248571,25668,58447,1415797
65,Thornton Creek,,657982,210704,,396105,62985,124198,828571,27203,54737,2362485
66,Thurgood Marshall,,657982,283935,,378255,62985,154736,1408570,25954,69043,3041459
67,Tops,,672371,256382,30134,255384,62985,121272,1077142,25668,54805,2556143
68,View Ridge,,396751,170370,,330546,62985,157842,331428,25732,75096,1550751
69,View lands,,396751,170370,,518325,62985,12217,331428,26804,4308,1523188
70,Wedgwood,,435556,170370,,346801,62985,139719,248571,26146,83088,1513237
71,West Seattle,,657982,283935,,382817,62985,108293,414285,24303,12263,1946863
72,West Woodland,,435556,170370,,481362,62985,132972,165714,26447,48376,1523783
73,Whittier,,435556,170370,,374412,62985,115222,248571,25732,39967,1472817
74,Wing Luke,,396751,243601,,568907,62985,111960,414285,24303,20533,1843325